 ◦ 2022년 학교안전사고 발생건수(시간),,,,,,,,,,,,,,,,,,,,,,,
(단위 : 건),,,,,,,,,,,,,,,,,,,,,,,
지역,"학교
급별",체육수업,,점심시간,,수업시간,,휴식/청소,,학교행사,,등하교,,특별활동,,기타,,석식시간,,기숙사생활,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
경남,중,"1,515",48.40%,554,17.70%,171,5.50%,370,11.80%,156,5.00%,84,2.70%,211,6.70%,69,2.20%,  ,0.00%,2,0.10%,"3,132",100.00%
경남,고,615,37.60%,255,15.60%,138,8.40%,174,10.60%,209,12.80%,77,4.70%,48,2.90%,34,2.10%,51,3.10%,34,2.10%,"1,635",100.00%
경남,특수,8,32.00%,5,20.00%,5,20.00%,2,8.00%,1,4.00%,2,8.00%,  ,0.00%,2,8.00%,  ,0.00%,  ,0.00%,25,100.00%
경남,기타,6,28.60%,2,9.50%,4,19.00%,3,14.30%,1,4.80%,  ,0.00%,1,4.80%,  ,0.00%,  ,0.00%,4,19.00%,21,100.00%
경남,소계,"3,140",35.70%,"1,727",19.60%,"1,042",11.90%,"1,166",13.30%,513,5.80%,445,5.10%,318,3.60%,347,3.90%,52,0.60%,40,0.50%,"8,790",100.00%
제주,유,8,5.60%,7,4.90%,75,52.80%,6,4.20%,7,4.90%,6,4.20%,  ,0.00%,33,23.20%,  ,0.00%,  ,0.00%,142,100.00%
제주,초,388,31.10%,338,27.10%,157,12.60%,172,13.80%,33,2.60%,80,6.40%,39,3.10%,41,3.30%,  ,0.00%,  ,0.00%,"1,248",100.00%
제주,중,586,53.10%,196,17.80%,45,4.10%,123,11.20%,63,5.70%,18,1.60%,40,3.60%,32,2.90%,  ,0.00%,  ,0.00%,"1,103",100.00%
제주,고,297,48.60%,100,16.40%,42,6.90%,33,5.40%,62,10.10%,15,2.50%,23,3.80%,17,2.80%,17,2.80%,5,0.80%,611,100.00%
제주,특수,1,20.00%,  ,0.00%,2,40.00%,  ,0.00%,  ,0.00%,1,20.00%,  ,0.00%,1,20.00%,  ,0.00%,  ,0.00%,5,100.00%
제주,기타,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.00%
제주,소계,"1,280",41.20%,641,20.60%,321,10.30%,334,10.70%,165,5.30%,120,3.90%,102,3.30%,124,4.00%,17,0.50%,5,0.20%,"3,109",100.00%
