 ◦ 2021년 학교안전사고 발생현황(사고당시행동),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",구기운동,,기타*,,보행/주행,,장난/놀이,,기타운동,,식사/수면/휴식,,공부,,실험실습,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
경남,기타,9,40.90%,6,27.30%,2,9.10%,  ,0.00%,2,9.10%,3,13.60%,  ,0.00%,  ,0.00%,22,100.00%
경남,소계,"2,434",37.10%,"1,047",16.00%,"1,152",17.60%,975,14.90%,353,5.40%,297,4.50%,157,2.40%,147,2.20%,"6,562",100.00%
제주,유,2,1.80%,37,33.60%,7,6.40%,55,50.00%,2,1.80%,6,5.50%,1,0.90%,  ,0.00%,110,100.00%
제주,초,256,26.80%,191,20.00%,166,17.30%,179,18.70%,67,7.00%,61,6.40%,21,2.20%,16,1.70%,957,100.00%
제주,중,449,62.00%,97,13.40%,56,7.70%,51,7.00%,36,5.00%,25,3.50%,5,0.70%,5,0.70%,724,100.00%
제주,고,212,58.60%,45,12.40%,40,11.00%,15,4.10%,17,4.70%,9,2.50%,5,1.40%,19,5.20%,362,100.00%
제주,특수,  ,0.00%,4,40.00%,2,20.00%,2,20.00%,1,10.00%,1,10.00%,  ,0.00%,  ,0.00%,10,100.00%
제주,기타,  ,0.00%,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,0.00%
제주,소계,919,42.50%,374,17.30%,271,12.50%,302,14.00%,123,5.70%,102,4.70%,32,1.50%,40,1.80%,"2,163",100.00%
"* 기타 : 싸움, 탑승/승선/자전거타기(운전), 기타 포함 ",,,,,,,,,,,,,,,,,,,
