 ◦ 2021년 학교안전사고 발생현황(시간),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,(단위 : 건),
지역,"학교
급별",체육수업,,점심시간,,수업시간,,휴식/청소,,등하교,,특별활동,,기타,,학교행사,,기숙사생활,,석식시간,,합계,
,,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율,건수,분율
충북,중,605,50.30%,174,14.50%,77,6.40%,135,11.20%,28,2.30%,108,9.00%,41,3.40%,30,2.50%,4,0.30%,  ,0.00%,"1,202",100.00%
충북,고,203,34.10%,90,15.10%,75,12.60%,76,12.80%,26,4.40%,50,8.40%,14,2.30%,36,6.00%,15,2.50%,11,1.80%,596,100.00%
충북,특수,3,15.80%,5,26.30%,8,42.10%,2,10.50%,1,5.30%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,19,100.00%
충북,기타,8,66.70%,  ,0.00%,1,8.30%,  ,0.00%,1,8.30%,1,8.30%,  ,0.00%,  ,0.00%,  ,0.00%,1,8.30%,12,100.00%
충북,소계,"1,269",40.10%,471,14.90%,474,15.00%,367,11.60%,146,4.60%,192,6.10%,132,4.20%,81,2.60%,19,0.60%,12,0.40%,"3,163",100.00%
충남,유,36,9.00%,34,8.50%,167,41.90%,17,4.30%,27,6.80%,  ,0.00%,115,28.80%,3,0.80%,  ,0.00%,  ,0.00%,399,100.00%
충남,초,551,35.60%,320,20.70%,220,14.20%,205,13.30%,104,6.70%,53,3.40%,61,3.90%,32,2.10%,  ,0.00%,  ,0.00%,"1,546",100.00%
충남,중,695,46.10%,244,16.20%,107,7.10%,190,12.60%,46,3.10%,132,8.80%,37,2.50%,51,3.40%,4,0.30%,1,0.10%,"1,507",100.00%
충남,고,323,38.70%,96,11.50%,93,11.20%,75,9.00%,17,2.00%,70,8.40%,31,3.70%,57,6.80%,41,4.90%,31,3.70%,834,100.00%
충남,특수,6,24.00%,2,8.00%,9,36.00%,1,4.00%,5,20.00%,  ,0.00%,1,4.00%,1,4.00%,  ,0.00%,  ,0.00%,25,100.00%
충남,기타,1,10.00%,1,10.00%,  ,0.00%,1,10.00%,  ,0.00%,2,20.00%,  ,0.00%,  ,0.00%,5,50.00%,  ,0.00%,10,100.00%
충남,소계,"1,612",37.30%,697,16.10%,596,13.80%,489,11.30%,199,4.60%,257,5.90%,245,5.70%,144,3.30%,50,1.20%,32,0.70%,"4,321",100.00%
전북,유,33,9.90%,24,7.20%,169,50.60%,13,3.90%,16,4.80%,  ,0.00%,68,20.40%,10,3.00%,  ,0.00%,1,0.30%,334,100.00%
전북,초,545,30.80%,379,21.40%,324,18.30%,257,14.50%,128,7.20%,31,1.70%,64,3.60%,44,2.50%,  ,0.00%,  ,0.00%,"1,772",100.00%
전북,중,459,35.70%,271,21.10%,75,5.80%,183,14.20%,51,4.00%,105,8.20%,49,3.80%,87,6.80%,4,0.30%,2,0.20%,"1,286",100.00%
전북,고,381,34.90%,146,13.40%,116,10.60%,107,9.80%,27,2.50%,111,10.20%,28,2.60%,84,7.70%,61,5.60%,31,2.80%,"1,092",100.00%
전북,특수,2,13.30%,6,40.00%,4,26.70%,1,6.70%,2,13.30%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,15,100.00%
전북,기타,2,33.30%,  ,0.00%,  ,0.00%,2,33.30%,2,33.30%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,  ,0.00%,6,100.00%
전북,소계,"1,422",31.60%,826,18.30%,688,15.30%,563,12.50%,226,5.00%,247,5.50%,209,4.60%,225,5.00%,65,1.40%,34,0.80%,"4,505",100.00%
전남,유,17,8.60%,24,12.20%,111,56.30%,13,6.60%,5,2.50%,  ,0.00%,18,9.10%,9,4.60%,  ,0.00%,  ,0.00%,197,100.00%
전남,초,324,31.70%,196,19.20%,172,16.80%,198,19.40%,54,5.30%,21,2.10%,30,2.90%,27,2.60%,  ,0.00%,  ,0.00%,"1,022",100.00%
